organization,timestamp,open,high,low,close,volume
ADS,23/03/2018,220.86,222.93,214.94,215.01,638051
ADS,22/03/2018,225.73,226.22,220.24,220.37,550287
ADS,21/03/2018,227.31,229.68,226.61,226.78,298801
ADS,20/03/2018,230.09,230.83,226.85,227.68,488212
ADS,19/03/2018,228,230.12,227.44,229.85,544074
ADS,16/03/2018,228.44,230.155,227.7,229.09,537095
ADS,15/03/2018,230.28,231.03,226.34,228.24,745947
ADS,14/03/2018,233.22,234.38,229.44,230.33,667347
ADS,13/03/2018,237.97,237.97,229.9,232.63,883032
ADS,12/03/2018,239.05,241.48,237.93,238.06,464479
ADS,09/03/2018,237.26,240.06,235.46,239.19,403961
ADS,08/03/2018,236.96,237.25,234.09,236.17,321194
ADS,07/03/2018,233.22,236.09,232.81,235.38,404504
ADS,06/03/2018,233.7,238.41,231.87,235.09,594418
ADS,05/03/2018,230.8,233.99,230.8,231.77,802601
ADS,02/03/2018,232.82,234.65,229.95,232.72,850553
ADS,01/03/2018,241.06,244.02,235.06,235.35,859054
ADS,28/02/2018,243.6,245.19,240.76,240.96,494921
ADS,27/02/2018,245.64,246.545,242.3,242.39,382229
ADS,26/02/2018,243.02,246.18,241.64,245.66,723281
ADS,23/02/2018,240.26,242.28,239.16,242.09,548078
ADS,22/02/2018,241.34,244.465,237.5,238.82,783407
ADS,21/02/2018,243.77,246.09,239.535,239.59,766812
ADS,20/02/2018,244.5,249.34,243.69,244.57,494158
ADS,16/02/2018,240.5,246.505,240.5,244.68,560607
ADS,15/02/2018,250.8,250.93,237.05,240.65,1333091
ADS,14/02/2018,246.26,250.72,245.16,250.05,466567
ADS,13/02/2018,247.11,248.45,243.97,246.26,472076
ADS,12/02/2018,243.56,249.69,242.11,248.29,594397
ADS,09/02/2018,242.77,242.77,232.69,240.67,756556
ADS,08/02/2018,246.08,248.31,240.42,240.6,797759
ADS,07/02/2018,240.08,249.73,240.08,246.75,828780
ADS,06/02/2018,233.57,242.5,232.75,241.47,1151717
ADS,05/02/2018,247.18,249.5,238.7,238.78,914517
ADS,02/02/2018,255.13,255.905,249.91,249.91,437950
ADS,01/02/2018,256.26,257.99,254.37,257.11,262452
ADS,31/01/2018,255.98,259.94,255.03,256.66,482767
ADS,30/01/2018,254,257.86,254,254.59,642231
ADS,29/01/2018,259.72,261.4,255.5,256.51,899831
ADS,26/01/2018,253.75,262.75,253.5,261.85,868285
ADS,25/01/2018,252.74,253.02,244.98,252.85,1255180
ADS,24/01/2018,262.45,262.58,257.04,259.49,730229
ADS,23/01/2018,260.97,262.69,260.25,260.78,402276
ADS,22/01/2018,262.09,262.09,260.32,261.85,553407
ADS,19/01/2018,255.01,262.02,255.01,261.82,690809
ADS,18/01/2018,258.1,259.31,255.58,255.94,537233
ADS,17/01/2018,260.38,262.15,257.73,258.26,893506
ADS,16/01/2018,276,276,254.63,258.07,1619109
ADS,12/01/2018,274.79,278.33,273.57,276.37,429861
ADS,11/01/2018,271.94,274.01,270.59,273.62,510093
ADS,10/01/2018,267.95,272.405,266.03,272.09,382319
ADS,09/01/2018,264.5,268.85,264.03,267.96,462972
ADS,08/01/2018,264.83,264.83,262.17,263.3,437560
ADS,05/01/2018,265,265,263.55,264.76,451015
ADS,04/01/2018,261.68,264.17,261.26,264.05,342414
ADS,03/01/2018,260,264.775,258.72,260.07,676801
ADS,02/01/2018,254.29,256.32,252.67,255.33,563496
ADS,29/12/2017,252.54,254.79,251.4535,253.48,353258
ADS,28/12/2017,251.365,252.19,249.44,251.35,320336
ADS,27/12/2017,250.41,250.59,248.95,250.42,206281
ADS,26/12/2017,250.5,252,249.98,250.64,258930
ADS,22/12/2017,250.56,252.315,249.03,251.99,573140
ADS,21/12/2017,248.18,250.79,247.6,249.78,703179
ADS,20/12/2017,244.85,247.93,242.76,247.15,525691
ADS,19/12/2017,247.8,249.22,244.69,244.85,473932
ADS,18/12/2017,243.79,248.23,240.66,247.22,945804
ADS,15/12/2017,237,240.88,230.53,239.81,989084
ADS,14/12/2017,235.24,237.46,233.29,236.29,677286
ADS,13/12/2017,237.5,238.31,233.29,234,586079
ADS,12/12/2017,234.13,238.59,233.69,238.34,825319
