organization,timestamp,open,high,low,close,volume
AMZN,23/03/2018,1539.01,1549.02,1495.36,1495.56,7843966
AMZN,22/03/2018,1565.47,1573.85,1542.4,1544.92,6177737
AMZN,21/03/2018,1586.45,1590,1563.17,1581.86,4667291
AMZN,20/03/2018,1550.34,1587,1545.41,1586.51,4507049
AMZN,19/03/2018,1554.53,1561.66,1525.35,1544.93,6376619
AMZN,16/03/2018,1583.45,1589.44,1567.5,1571.68,5145054
AMZN,15/03/2018,1595,1596.91,1578.11,1582.32,4026744
AMZN,14/03/2018,1597,1606.44,1590.89,1591,4164395
AMZN,13/03/2018,1615.96,1617.54,1578.01,1588.18,6427066
AMZN,12/03/2018,1592.6,1605.33,1586.7,1598.39,5115886
AMZN,09/03/2018,1563.5,1578.94,1559.08,1578.89,4417059
AMZN,08/03/2018,1550,1554.88,1545.25,1551.86,3512528
AMZN,07/03/2018,1526.52,1545.9,1522.51,1545,4174123
AMZN,06/03/2018,1533.2,1542.13,1528,1537.64,4561718
AMZN,05/03/2018,1494.24,1525.38,1481,1523.61,5233934
AMZN,02/03/2018,1469.1,1501.05,1455.01,1500.25,6587564
AMZN,01/03/2018,1513.6,1518.49,1465,1493.45,6835230
AMZN,28/02/2018,1519.51,1528.7,1512,1512.45,4426580
AMZN,27/02/2018,1524.5,1526.78,1507.21,1511.98,4708378
AMZN,26/02/2018,1509.2,1522.84,1507,1521.95,4909053
AMZN,23/02/2018,1495.34,1500,1486.5,1500,4327008
AMZN,22/02/2018,1495.36,1502.54,1475.76,1485.34,4732555
AMZN,21/02/2018,1485,1503.49,1478.92,1482.92,6216694
AMZN,20/02/2018,1446.49,1488.77,1446.49,1468.35,6388374
AMZN,16/02/2018,1457.37,1465.8,1446.56,1448.69,4410879
AMZN,15/02/2018,1466.89,1468.94,1436.84,1461.76,5598111
AMZN,14/02/2018,1406.25,1452.06,1403.36,1451.05,5881238
AMZN,13/02/2018,1385.93,1419.72,1383.53,1414.51,5858860
AMZN,12/02/2018,1364.67,1393.81,1344.01,1386.23,6682214
AMZN,09/02/2018,1373.49,1383.5,1265.93,1339.6,13787886
AMZN,08/02/2018,1429.67,1433.75,1349.94,1350.5,8108560
AMZN,07/02/2018,1449,1460.99,1415.15,1416.78,7066828
AMZN,06/02/2018,1361.46,1443.99,1351.79,1442.84,10773963
AMZN,05/02/2018,1402.62,1458.98,1320.72,1390,10756332
AMZN,02/02/2018,1477.39,1498,1414,1429.95,10915962
AMZN,01/02/2018,1445,1459.88,1385.14,1390,7812953
AMZN,31/01/2018,1451.3,1472.58,1450.04,1450.89,6220396
AMZN,30/01/2018,1403.17,1439.25,1392,1437.82,5736512
AMZN,29/01/2018,1409.18,1431.39,1400.44,1417.68,5628992
AMZN,26/01/2018,1392.01,1402.53,1380.91,1402.05,4584082
AMZN,25/01/2018,1368,1378.34,1357.62,1377.95,4621862
AMZN,24/01/2018,1374.82,1388.16,1338,1357.51,6730084
AMZN,23/01/2018,1338.09,1364.9,1337.34,1362.54,5056764
AMZN,22/01/2018,1297.17,1327.45,1296.66,1327.31,3970151
AMZN,19/01/2018,1312,1313,1292.99,1294.58,4395070
AMZN,18/01/2018,1293.95,1304.6,1284.02,1293.32,3941007
AMZN,17/01/2018,1312.24,1314,1280.88,1295,5166748
AMZN,16/01/2018,1323,1339.94,1292.3,1304.86,7111172
AMZN,12/01/2018,1273.39,1305.76,1273.39,1305.2,5360681
AMZN,11/01/2018,1259.74,1276.77,1256.46,1276.68,3075315
AMZN,10/01/2018,1245.15,1254.33,1237.23,1254.33,2659507
AMZN,09/01/2018,1256.9,1259.33,1241.76,1252.7,3646681
AMZN,08/01/2018,1236,1253.08,1232.03,1246.87,4177533
AMZN,05/01/2018,1217.51,1229.14,1210,1229.14,3430148
AMZN,04/01/2018,1205,1215.87,1204.66,1209.59,3000366
AMZN,03/01/2018,1188.3,1205.49,1188.3,1204.2,3044664
AMZN,02/01/2018,1172,1190,1170.51,1189.01,2587899
AMZN,29/12/2017,1182.35,1184,1167.5,1169.47,2625283
AMZN,28/12/2017,1189,1190.1,1184.38,1186.1,1803460
AMZN,27/12/2017,1179.91,1187.29,1175.61,1182.26,1779382
AMZN,26/12/2017,1168.36,1178.32,1160.55,1176.76,1964871
AMZN,22/12/2017,1172.08,1174.62,1167.83,1168.36,1553997
AMZN,21/12/2017,1175.9,1179.17,1167.64,1174.76,2042448
AMZN,20/12/2017,1190.5,1191,1176,1177.62,2318916
AMZN,19/12/2017,1189.15,1192.97,1179.14,1187.38,2555235
AMZN,18/12/2017,1187.37,1194.78,1180.91,1190.58,2767271
AMZN,15/12/2017,1179.03,1182.75,1169.33,1179.14,4539895
AMZN,14/12/2017,1163.71,1177.93,1162.45,1174.26,3069993
AMZN,13/12/2017,1170,1170.87,1160.27,1164.13,2555053
AMZN,12/12/2017,1166.51,1173.6,1161.61,1165.08,2197697
AMZN,11/12/2017,1164.6,1169.9,1157,1168.92,2257922
AMZN,08/12/2017,1170.4,1172.79,1157.1,1162,2957785
AMZN,07/12/2017,1156.59,1163.19,1151,1159.79,2408323
AMZN,06/12/2017,1137.99,1155.89,1136.08,1152.35,2756730
AMZN,05/12/2017,1128.26,1159.27,1124.74,1141.57,4033184
