organization,timestamp,open,high,low,close,volume
DIS,23/03/2018,100.85,101.11,98.45,98.54,7380554
DIS,22/03/2018,101.29,101.64,100.41,100.6,8648198
DIS,21/03/2018,101.5,102.94,101.42,101.82,5917934
DIS,20/03/2018,101.54,102.15,100.75,101.35,8087735
DIS,19/03/2018,102.8,102.95,101,101.48,6361623
DIS,16/03/2018,103.56,104.27,102.84,102.87,10101026
DIS,15/03/2018,104,104.285,103.24,103.24,5128335
DIS,14/03/2018,104.53,104.65,103.47,103.9,6183056
DIS,13/03/2018,105.83,105.83,103.42,103.73,6679811
DIS,12/03/2018,104.715,105.94,104.715,105.17,6476237
DIS,09/03/2018,104.43,104.75,103.6425,104.73,5590193
DIS,08/03/2018,103.99,104.585,103.47,104.03,6533940
DIS,07/03/2018,103.72,104.24,102.77,103.59,6214836
DIS,06/03/2018,104,104.95,103.51,104.94,6216200
DIS,05/03/2018,102.71,103.97,102.42,103.41,5736713
DIS,02/03/2018,102,103.17,101.44,102.99,7835408
DIS,01/03/2018,103.2,104.03,101.33,102.57,10487306
DIS,28/02/2018,105.45,105.572,103.14,103.16,10695759
DIS,27/02/2018,108,108.16,104.85,104.87,14139077
DIS,26/02/2018,108,109.81,107.67,109.81,8108586
DIS,23/02/2018,105.75,107.36,105.43,107.25,6014657
DIS,22/02/2018,105.31,106.01,104.93,105.24,4425733
DIS,21/02/2018,106,106.91,105.02,105.05,6733937
DIS,20/02/2018,106.37,107.565,105.52,105.98,6549202
DIS,16/02/2018,105.19,107.345,105.19,106.53,8735301
DIS,15/02/2018,105.36,105.57,103.93,105.18,6405607
DIS,14/02/2018,103.49,104.76,102.6901,104.6,7343291
DIS,13/02/2018,102.64,104.31,102.4,104.12,8394693
DIS,12/02/2018,103.93,104.64,102.1,103.39,9538409
DIS,09/02/2018,102.55,103.75,100.26,103.09,12305151
DIS,08/02/2018,105.47,105.8249,101.19,101.35,12497236
DIS,07/02/2018,107.83,108.03,104.41,104.76,12327546
DIS,06/02/2018,102.88,106.2,101.76,106.17,16874001
DIS,05/02/2018,107.1,108.63,104.01,104.7,14477246
DIS,02/02/2018,109.95,110.58,108.45,108.7,9802863
DIS,01/02/2018,108.62,110.65,107.36,110.49,9502153
DIS,31/01/2018,110.08,110.12,108.47,108.67,9788631
DIS,30/01/2018,111.42,112.42,110.1,110.11,8308970
DIS,29/01/2018,112.1,112.45,111.24,111.54,6705584
DIS,26/01/2018,110.81,112.5324,110.67,112.19,7589509
DIS,25/01/2018,110.6,111.82,110.12,110.55,6264198
DIS,24/01/2018,110.96,111.43,110.29,110.5,7165688
DIS,23/01/2018,110.27,111.14,109.89,110.41,7411790
DIS,22/01/2018,110.27,111.555,110.06,111.1,7860981
DIS,19/01/2018,110.97,111.09,109.84,110.59,9951459
DIS,18/01/2018,111.74,111.99,110.2,110.42,7862866
DIS,17/01/2018,111.2,112.21,110.565,111.97,7023742
DIS,16/01/2018,113.07,113.16,110.62,110.69,8030023
DIS,12/01/2018,111.32,112.72,111,112.47,5881074
DIS,11/01/2018,110.25,111.08,109.51,110.99,6416415
DIS,10/01/2018,109.96,110.5,109.01,109.47,6053818
DIS,09/01/2018,110.13,110.86,109.86,109.94,5833639
DIS,08/01/2018,110.89,111.28,109.54,110.02,8038517
DIS,05/01/2018,112.68,112.68,111.24,111.62,5989794
DIS,04/01/2018,112.95,113,111.63,112.23,7400598
DIS,03/01/2018,112.19,113.19,111.45,112.28,9207141
DIS,02/01/2018,108.95,111.81,108.56,111.8,10989294
DIS,29/12/2017,108.05,108.34,107.51,107.51,4508267
DIS,28/12/2017,108,108.05,107.06,107.77,3475592
DIS,27/12/2017,108.42,108.55,107.455,107.64,5574154
DIS,26/12/2017,108.49,109.37,107.89,108.12,3978477
DIS,22/12/2017,109.4,109.685,108.45,108.67,7354688
DIS,21/12/2017,109.52,111.09,109.1892,109.57,9322574
DIS,20/12/2017,111.625,112.3,109.69,109.69,8609063
DIS,19/12/2017,111.05,112.39,110.77,111.81,10536812
DIS,18/12/2017,111.85,111.99,110.305,111.03,12224819
DIS,15/12/2017,111.805,112,110.6,111.27,18878846
DIS,14/12/2017,107.75,111.54,107.2,110.57,27552148
DIS,13/12/2017,108.15,108.19,106.75,107.61,10255064
DIS,12/12/2017,107.6,107.83,106.585,107.43,8102857
DIS,11/12/2017,104.87,106.84,104.77,106.83,7395092
DIS,08/12/2017,104.91,104.98,104.0775,104.23,6489442
DIS,07/12/2017,105.74,106,104.49,105.26,9936917
DIS,06/12/2017,107.17,107.99,105.36,105.46,8042667
DIS,05/12/2017,109.53,110.04,106.52,107.22,13034687
DIS,04/12/2017,106.5,112.67,106.5,110.22,17823953
DIS,01/12/2017,104.58,105.85,103.87,105.25,9258403
