organization,timestamp,open,high,low,close,volume
DTYS,23/03/2018,22.15,22.18,21.7309,21.87,55660
DTYS,22/03/2018,22.09,22.2604,21.69,22.08,87247
DTYS,21/03/2018,22.94,23.2,22.597,22.6,79216
DTYS,20/03/2018,22.74,22.79,22.6325,22.73,50947
DTYS,19/03/2018,22.6,22.6,22.155,22.425,14023
DTYS,16/03/2018,22.27,22.407,22.27,22.35,10662
DTYS,15/03/2018,22.08,22.2628,21.97,22.1,39236
DTYS,14/03/2018,22.41,22.41,21.9,22.06,146652
DTYS,13/03/2018,22.35,22.57,22.26,22.27,214819
DTYS,12/03/2018,22.79,22.82,22.5546,22.58,35578
DTYS,09/03/2018,22.88,23.06,22.735,22.84,112831
DTYS,08/03/2018,22.67,22.735,22.4204,22.52,27311
DTYS,07/03/2018,22.57,22.82,22.44,22.7808,56302
DTYS,06/03/2018,22.7082,22.84,22.5401,22.84,7956
DTYS,05/03/2018,22.2733,22.9241,22.2701,22.8,53156
DTYS,02/03/2018,22.25,22.7,22.22,22.6,158759
DTYS,01/03/2018,22.72,23.13,21.9,22.06,222828
DTYS,28/02/2018,22.94,23.0999,22.78,22.78,23188
DTYS,27/02/2018,22.54,23.25,22.45,23.02,40640
DTYS,26/02/2018,22.52,22.5499,22.264,22.54,69579
DTYS,23/02/2018,22.79,22.84,22.543,22.7,80427
DTYS,22/02/2018,23.14,23.3,22.96,23.11,42983
DTYS,21/02/2018,22.88,23.48,22.8,23.31,53536
DTYS,20/02/2018,23.05,23.1906,22.9,22.9698,50790
DTYS,16/02/2018,22.61,22.8448,22.5,22.75,63120
DTYS,15/02/2018,23.2,23.2,22.85,23.09,137811
DTYS,14/02/2018,22.67,23.22,22.67,23.16,147512
DTYS,13/02/2018,22.37,22.45,22.18,22.22,21488
DTYS,12/02/2018,22.37,22.57,22.3,22.42,64881
DTYS,09/02/2018,22.49,22.56,21.5369,22.2383,257270
DTYS,08/02/2018,22.67,22.89,21.91,22.2,161260
DTYS,07/02/2018,21.86,22.4277,21.6242,22.32,126240
DTYS,06/02/2018,21.41,21.88,21.34,21.85,130968
DTYS,05/02/2018,22.48,22.6,21.09,21.31,295587
DTYS,02/02/2018,22.47,22.75,22.31,22.48,234977
DTYS,01/02/2018,21.61,22.18,21.532,22.1799,93699
DTYS,31/01/2018,21.3,21.81,21.3,21.64,105841
DTYS,30/01/2018,21.32,21.5,21.19,21.41,36397
DTYS,29/01/2018,21,21.44,21,21.1899,35654
DTYS,26/01/2018,20.46,20.93,20.46,20.79,42568
DTYS,25/01/2018,20.87,20.96,20.35,20.3626,219762
DTYS,24/01/2018,20.61,20.78,20.49,20.595,17600
DTYS,23/01/2018,20.54,20.54,20.33,20.36,9421
DTYS,22/01/2018,20.74,20.86,20.508,20.76,85712
DTYS,19/01/2018,20.47,20.75,20.47,20.75,67068
DTYS,18/01/2018,20.37,20.43,20.25,20.42,37222
DTYS,17/01/2018,19.85,20.09,19.73,20.0678,25911
DTYS,16/01/2018,19.56,19.84,19.5,19.68,16468
DTYS,12/01/2018,19.79,19.9,19.67,19.71,13446
DTYS,11/01/2018,19.7849,19.8,19.41,19.57,64416
DTYS,10/01/2018,19.9,19.99,19.555,19.61,92570
DTYS,09/01/2018,19.25,19.62,19.25,19.58,36887
DTYS,08/01/2018,18.98,19.08,18.88,19.03,9105
DTYS,05/01/2018,18.79,19.02,18.71,18.97,24664
DTYS,04/01/2018,19.03,19.05,18.75,18.75,13483
