organization,timestamp,open,high,low,close,volume
GPRO,23/03/2018,4.74,4.78,4.56,4.58,3885955
GPRO,22/03/2018,4.88,4.9172,4.755,4.78,3191361
GPRO,21/03/2018,4.98,5.06,4.87,4.92,2778697
GPRO,20/03/2018,5.36,5.37,4.92,5,5033471
GPRO,19/03/2018,5.54,5.55,5.32,5.33,2811783
GPRO,16/03/2018,5.6,5.63,5.53,5.54,2189206
GPRO,15/03/2018,5.6,5.69,5.59,5.62,1528338
GPRO,14/03/2018,5.67,5.68,5.5925,5.61,1148236
GPRO,13/03/2018,5.63,5.72,5.6,5.63,1665976
GPRO,12/03/2018,5.51,5.64,5.505,5.63,2443067
GPRO,09/03/2018,5.67,5.68,5.42,5.51,3245076
GPRO,08/03/2018,5.81,5.845,5.71,5.74,1314485
GPRO,07/03/2018,5.81,5.88,5.69,5.79,1858095
GPRO,06/03/2018,5.72,5.88,5.7,5.83,2386543
GPRO,05/03/2018,5.51,5.75,5.4867,5.73,2951756
GPRO,02/03/2018,5.35,5.61,5.35,5.56,3000031
GPRO,01/03/2018,5.36,5.48,5.32,5.42,2776636
GPRO,28/02/2018,5.45,5.5,5.36,5.38,1780233
GPRO,27/02/2018,5.63,5.71,5.37,5.46,3716825
GPRO,26/02/2018,5.6,5.73,5.59,5.65,2018789
GPRO,23/02/2018,5.46,5.6,5.46,5.59,1556769
GPRO,22/02/2018,5.55,5.581,5.39,5.46,1977766
GPRO,21/02/2018,5.59,5.65,5.54,5.55,1687962
GPRO,20/02/2018,5.45,5.62,5.45,5.57,2769073
GPRO,16/02/2018,5.6,5.719,5.475,5.49,3643552
GPRO,15/02/2018,5.71,5.77,5.58,5.62,1876610
GPRO,14/02/2018,5.3,5.77,5.27,5.67,4999758
GPRO,13/02/2018,5.2,5.42,5.2,5.29,2410256
GPRO,12/02/2018,5.5,5.5,5.22,5.26,4098266
GPRO,09/02/2018,5.61,5.65,5.25,5.46,4253512
GPRO,08/02/2018,5.6,5.73,5.55,5.58,3022854
GPRO,07/02/2018,5.62,5.68,5.53,5.61,3602261
GPRO,06/02/2018,5.4,5.7,5.4,5.63,4564432
GPRO,05/02/2018,5.56,5.73,5.38,5.52,5358894
GPRO,02/02/2018,5.27,5.75,5.13,5.55,8651891
GPRO,01/02/2018,5.43,5.53,5.36,5.5,3623216
GPRO,31/01/2018,5.56,5.63,5.38,5.47,2986893
GPRO,30/01/2018,5.24,5.57,5.24,5.47,5355897
GPRO,29/01/2018,5.61,5.65,5.29,5.32,8703690
GPRO,26/01/2018,5.96,5.9862,5.61,5.65,7870412
GPRO,25/01/2018,6.15,6.15,5.94,5.96,4375801
GPRO,24/01/2018,6.07,6.22,5.93,6.1,4441879
GPRO,23/01/2018,5.89,6.17,5.85,6.12,6589534
GPRO,22/01/2018,6.22,6.3,6.2,6.3,1902051
