organization,timestamp,open,high,low,close,volume
MSFT,23/03/2018,89.5,90.46,87.08,87.18,42159397
MSFT,22/03/2018,91.265,91.75,89.66,89.79,37578166
MSFT,21/03/2018,92.93,94.05,92.21,92.48,23753263
MSFT,20/03/2018,93.05,93.77,93,93.13,21787780
MSFT,19/03/2018,93.74,93.9,92.11,92.89,31752589
MSFT,16/03/2018,94.68,95.38,93.92,94.6,47329521
MSFT,15/03/2018,93.53,94.58,92.83,94.18,26279014
MSFT,14/03/2018,95.12,95.41,93.5,93.85,31576898
MSFT,13/03/2018,97,97.24,93.97,94.41,34445391
MSFT,12/03/2018,96.5,97.21,96.04,96.77,25333720
MSFT,09/03/2018,95.29,96.54,95,96.54,36145524
MSFT,08/03/2018,94.27,95.1,93.765,94.43,24861307
MSFT,07/03/2018,93.16,93.9406,92.43,93.86,26716127
MSFT,06/03/2018,94.34,94.49,92.941,93.32,22175776
MSFT,05/03/2018,92.34,94.27,92.26,93.64,23901578
MSFT,02/03/2018,91.58,93.15,90.86,93.05,32830389
MSFT,01/03/2018,93.99,94.57,91.84,92.85,37135561
MSFT,28/02/2018,94.84,95.705,93.63,93.77,29314525
MSFT,27/02/2018,95.74,95.84,94.2,94.2,25540755
MSFT,26/02/2018,94.4,95.45,94.25,95.42,29760276
MSFT,23/02/2018,92.75,94.07,92.36,94.06,25779955
MSFT,22/02/2018,92.05,92.73,91.36,91.73,22723756
MSFT,21/02/2018,92.98,93.3595,91.49,91.49,26081953
MSFT,20/02/2018,91.475,93.06,91.01,92.72,30107057
MSFT,16/02/2018,92.45,93.5,91.8,92,30188535
MSFT,15/02/2018,91.21,92.72,90.62,92.66,27407914
MSFT,14/02/2018,88.51,90.99,88.41,90.81,34314101
MSFT,13/02/2018,88.93,90,87.8,89.83,26200053
MSFT,12/02/2018,88.735,89.78,87.9295,89.13,35501368
MSFT,09/02/2018,86.3,88.93,83.83,88.18,57408480
MSFT,08/02/2018,89.71,89.875,84.76,85.01,47485202
MSFT,07/02/2018,90.49,91.77,89.2,89.61,40340551
MSFT,06/02/2018,86.89,91.475,85.25,91.33,66157030
MSFT,05/02/2018,90.56,93.24,88,88,42253469
MSFT,02/02/2018,93.64,93.97,91.5,91.78,47076959
MSFT,01/02/2018,94.79,96.07,93.5813,94.26,46645657
MSFT,31/01/2018,93.75,95.4,93.51,95.01,44284284
MSFT,30/01/2018,93.3,93.66,92.1,92.74,34153798
MSFT,29/01/2018,95.14,95.45,93.72,93.92,30409620
MSFT,26/01/2018,93.12,94.06,92.58,94.06,26348999
MSFT,25/01/2018,92.465,93.24,91.93,92.33,23983094
MSFT,24/01/2018,92.55,93.43,91.58,91.82,32107765
MSFT,23/01/2018,91.9,92.3,91.54,91.9,22283365
MSFT,22/01/2018,90,91.62,89.74,91.61,23190700
MSFT,19/01/2018,90.14,90.61,89.66,90,34896964
MSFT,18/01/2018,89.8,90.67,89.66,90.1,22931303
MSFT,17/01/2018,89.08,90.28,88.75,90.14,24659472
MSFT,16/01/2018,90.1,90.79,88.0104,88.35,35945428
MSFT,12/01/2018,88.67,89.78,88.45,89.6,24000439
MSFT,11/01/2018,88.13,88.13,87.24,88.08,16529868
MSFT,10/01/2018,87.86,88.19,87.41,87.82,18129153
MSFT,09/01/2018,88.65,88.7272,87.86,88.22,19390427
MSFT,08/01/2018,88.2,88.58,87.6046,88.28,20293930
MSFT,05/01/2018,87.66,88.41,87.43,88.19,22526563
MSFT,04/01/2018,86.59,87.66,86.57,87.11,21145985
MSFT,03/01/2018,86.055,86.51,85.97,86.35,24173064
MSFT,02/01/2018,86.125,86.31,85.5,85.95,21993101
MSFT,29/12/2017,85.63,86.05,85.5,85.54,18162779
MSFT,28/12/2017,85.9,85.93,85.55,85.72,9872795
MSFT,27/12/2017,85.65,85.98,85.215,85.71,13000828
MSFT,26/12/2017,85.31,85.5346,85.03,85.4,9737412
MSFT,22/12/2017,85.4,85.63,84.92,85.51,14033977
MSFT,21/12/2017,86.05,86.1,85.4,85.5,16638402
MSFT,20/12/2017,86.2,86.3,84.71,85.52,23425009
MSFT,19/12/2017,86.35,86.35,85.27,85.83,23241979
MSFT,18/12/2017,87.12,87.4999,86.23,86.38,21551076
MSFT,15/12/2017,85.26,87.09,84.88,86.85,52430167
MSFT,14/12/2017,85.43,85.8739,84.53,84.69,19080106
MSFT,13/12/2017,85.74,86,85.17,85.35,21307911
MSFT,12/12/2017,85.31,86.05,85.08,85.58,23534946
MSFT,11/12/2017,84.29,85.37,84.12,85.23,19909119
MSFT,08/12/2017,83.63,84.58,83.33,84.16,23825056
MSFT,07/12/2017,82.54,82.8,82,82.49,20378114
MSFT,06/12/2017,81.55,83.14,81.43,82.78,24821403
MSFT,05/12/2017,81.34,82.68,80.9801,81.59,25512120
MSFT,04/12/2017,84.42,84.4299,80.7,81.08,37977732
MSFT,01/12/2017,83.6,84.81,83.22,84.26,29387325
MSFT,30/11/2017,83.51,84.52,83.34,84.17,32998408
MSFT,29/11/2017,84.71,84.9172,83.175,83.34,27358477
MSFT,28/11/2017,84.07,85.06,84.02,84.88,21162639
MSFT,27/11/2017,83.31,83.98,83.3,83.87,17603760
MSFT,24/11/2017,83.01,83.43,82.78,83.26,7425503
MSFT,22/11/2017,83.83,83.9,83.04,83.11,20213704
MSFT,21/11/2017,82.74,83.84,82.74,83.72,21237454
MSFT,20/11/2017,82.4,82.59,82.25,82.53,16072495
MSFT,17/11/2017,83.12,83.12,82.24,82.4,21715498
MSFT,16/11/2017,83.1,83.42,82.94,83.2,20659209
MSFT,15/11/2017,83.47,83.69,82.69,82.98,19097333
MSFT,14/11/2017,83.5,84.1,82.98,84.05,18604034
MSFT,13/11/2017,83.66,83.94,83.46,83.93,14080820
MSFT,10/11/2017,83.79,84.095,83.23,83.87,19340435
MSFT,09/11/2017,84.11,84.27,82.9,84.09,20924172
MSFT,08/11/2017,84.14,84.61,83.83,84.56,18034170
MSFT,07/11/2017,84.77,84.9,83.93,84.27,17152583
MSFT,06/11/2017,84.2,84.7,84.0825,84.47,19039847
MSFT,03/11/2017,84.08,84.54,83.4,84.14,17569120
