organization,timestamp,open,high,low,close,volume
NFLX,23/03/2018,307.41,310.73,300.36,300.94,9226978
NFLX,22/03/2018,313.07,314.12,305.66,306.7,7920524
NFLX,21/03/2018,316.35,319.4,314.511,316.48,5016980
NFLX,20/03/2018,313.26,319.5,312.8,317.5,5922296
NFLX,19/03/2018,315.8,317,307.34,313.48,9812726
NFLX,16/03/2018,321.42,324.11,318.37,318.45,7144077
NFLX,15/03/2018,323.17,323.4,318.14,321.09,5217383
NFLX,14/03/2018,318.16,323.88,317.7,321.55,10187889
NFLX,13/03/2018,323.87,325.8409,313.278,315.88,12836292
NFLX,12/03/2018,333.56,333.98,318.6,321.3,20050086
NFLX,09/03/2018,321.33,331.44,320.23,331.44,14152860
NFLX,08/03/2018,322.2,322.9176,314.13,317,11182666
NFLX,07/03/2018,320,323.74,314.55,321.16,17132222
NFLX,06/03/2018,319.88,325.79,316.5,325.22,18525844
NFLX,05/03/2018,302.85,316.91,297.6,315,18986099
NFLX,02/03/2018,284.65,301.18,283.23,301.05,13345313
NFLX,01/03/2018,292.75,295.25,283.83,290.39,11932051
NFLX,28/02/2018,293.1,295.75,290.78,291.38,7422673
NFLX,27/02/2018,294.77,297.36,290.59,290.61,9187578
NFLX,26/02/2018,288.75,295.6475,287.01,294.16,10203579
NFLX,23/02/2018,281,286,277.81,285.93,7224968
NFLX,22/02/2018,283.88,284.5,274.45,278.14,8769251
NFLX,21/02/2018,282.07,286.64,280.01,281.04,9289130
NFLX,20/02/2018,277.74,285.812,276.61,278.55,7691297
NFLX,16/02/2018,278.73,281.96,275.69,278.52,8223309
NFLX,15/02/2018,270.03,280.5,267.63,280.27,10661768
NFLX,14/02/2018,260.47,269.88,260.33,266,10819780
NFLX,13/02/2018,257.29,261.41,254.7,258.27,6758332
NFLX,12/02/2018,252.14,259.15,249,257.95,8453411
NFLX,09/02/2018,253.85,255.7999,236.11,249.47,16282837
NFLX,08/02/2018,267.08,267.62,250,250.1,8711249
NFLX,07/02/2018,266.58,272.45,264.325,264.56,8679872
NFLX,06/02/2018,247.7,266.7,245,265.72,12285458
NFLX,05/02/2018,262,267.899,250.03,254.26,11121359
NFLX,02/02/2018,263,270.62,262.71,267.43,8968632
NFLX,01/02/2018,266.41,271.95,263.38,265.07,9468021
NFLX,31/01/2018,281.94,282.289,269.58,270.3,11192988
NFLX,30/01/2018,277,282.73,272.7,278.8,11983092
NFLX,29/01/2018,274.2,286.81,273.92,284.59,17290833
NFLX,26/01/2018,271.485,274.6,268.76,274.6,10841105
NFLX,25/01/2018,263,272.3,260.23,269.7,15127209
NFLX,24/01/2018,250.88,261.71,249.311,261.3,17116019
NFLX,23/01/2018,255.05,257.71,248.02,250.29,27518256
NFLX,22/01/2018,222,227.785,221.2,227.58,13078653
