organization,timestamp,open,high,low,close,volume
NKE,23/03/2018,66.7,67.22,64.46,64.63,17100955
NKE,22/03/2018,65.6,66.15,64.23,64.42,11157800
NKE,21/03/2018,66.73,67.21,66.31,66.35,5772098
NKE,20/03/2018,65.94,66.87,65.93,66.8,6859313
NKE,19/03/2018,65.7,66.34,65.19,65.71,7213652
NKE,16/03/2018,66.31,66.69,65.91,65.91,12640208
NKE,15/03/2018,66.49,66.605,66.13,66.39,5243737
NKE,14/03/2018,66.65,66.9,65.67,66.2,6440556
NKE,13/03/2018,67.3,67.69,66.13,66.17,5135269
NKE,12/03/2018,66.65,67.61,66.32,66.82,7521115
NKE,09/03/2018,65.51,66.51,65.36,66.3,5822649
NKE,08/03/2018,64.56,65.25,64.48,65.11,5448938
NKE,07/03/2018,64.51,64.79,63.89,64.17,6457572
NKE,06/03/2018,65.21,65.36,64.63,65.24,6550145
NKE,05/03/2018,65.48,65.49,64.34,65.05,8838383
NKE,02/03/2018,64.91,66.09,64.21,65.89,8380732
NKE,01/03/2018,67.24,67.67,65.67,66.32,7323859
NKE,28/02/2018,68.1,68.3,67.01,67.03,6069042
NKE,27/02/2018,70,70.25,68.03,68.03,6808215
NKE,26/02/2018,68.39,69.81,68.34,69.65,6122074
NKE,23/02/2018,67.39,68.16,66.85,68.16,4359181
NKE,22/02/2018,67.25,67.48,66.74,67.13,6462619
NKE,21/02/2018,67.66,68.02,67.03,67.05,5006910
NKE,20/02/2018,67.64,67.97,67.05,67.49,4818245
NKE,16/02/2018,67.9,69,67.74,68.3,6812885
NKE,15/02/2018,68.39,68.76,67.25,68.29,7383161
NKE,14/02/2018,65.72,68.03,65.55,67.96,8587026
NKE,13/02/2018,65.85,66.23,65.43,65.87,9517268
NKE,12/02/2018,65.94,66.815,65.68,65.98,9744722
NKE,09/02/2018,63.76,66.05,62.84,65.49,13692782
NKE,08/02/2018,65.53,65.71,62.46,62.49,13707703
NKE,07/02/2018,65.15,66.841,65.1,65.63,8746674
NKE,06/02/2018,62.48,65.42,62.09,65.22,13232997
