organization,timestamp,open,high,low,close,volume
SBUX,23/03/2018,57.78,58.07,56.31,56.31,9104875
SBUX,22/03/2018,58.03,58.72,57.75,57.77,6737470
SBUX,21/03/2018,58.75,59.55,58.39,58.47,6473479
SBUX,20/03/2018,58.45,58.98,58.45,58.66,5763174
SBUX,19/03/2018,58.7,58.85,57.8,58.3,8772712
SBUX,16/03/2018,59.38,59.65,58.94,59,12133906
SBUX,15/03/2018,58.93,60.07,58.82,59.37,7347864
SBUX,14/03/2018,59.28,59.72,58.705,58.83,6473498
SBUX,13/03/2018,59.7,60.7,58.89,59.05,10349057
SBUX,12/03/2018,58.67,59.68,58.48,59.4,10526829
SBUX,09/03/2018,57.67,58.63,57.67,58.46,8934513
SBUX,08/03/2018,57.29,57.8,57.13,57.47,7220649
SBUX,07/03/2018,56.62,57.165,56.62,57.03,7044099
SBUX,06/03/2018,57.25,57.25,56.54,57.03,8046794
SBUX,05/03/2018,56.83,57.42,56.68,56.99,7835398
SBUX,02/03/2018,55.72,57.2,55.6805,56.93,11555132
SBUX,01/03/2018,57,57.56,55.83,56.17,11127627
SBUX,28/02/2018,56.84,57.92,56.83,57.1,11207553
SBUX,27/02/2018,57.29,57.64,56.56,56.57,8770432
SBUX,26/02/2018,56.42,57.35,56.32,57.17,8590227
SBUX,23/02/2018,55.65,56.15,54.8,56.14,11209477
SBUX,22/02/2018,55.95,56.14,55.26,55.4,10127622
SBUX,21/02/2018,55.93,56.74,55.86,56.1,7795338
SBUX,20/02/2018,56.29,56.54,55.83,55.97,9357795
SBUX,16/02/2018,56.65,57.05,56.34,56.48,10099667
SBUX,15/02/2018,56.36,56.83,55.9,56.58,10271457
SBUX,14/02/2018,55.47,56.7,55.29,55.99,14098533
SBUX,13/02/2018,55.25,55.72,55.02,55.67,8937163
SBUX,12/02/2018,54.86,55.73,54.55,55.38,10928389
SBUX,09/02/2018,54.2,55.06,53.65,54.58,18304362
SBUX,08/02/2018,54.5,54.789,53.75,53.77,15689415
SBUX,07/02/2018,55.08,55.43,54.44,54.46,13737297
SBUX,06/02/2018,53.685,56.06,53.56,55.61,17197963
SBUX,05/02/2018,55.53,56.26,54.57,54.69,13956346
SBUX,02/02/2018,55.9,56.32,55.7,55.77,15236577
SBUX,01/02/2018,56.28,56.42,55.89,56,14628946
SBUX,31/01/2018,57.23,57.45,56.7,56.81,12984489
SBUX,30/01/2018,56.96,57.54,56.74,57.19,14232179
SBUX,29/01/2018,57.55,58.35,56.91,57.02,18709513
SBUX,26/01/2018,57.94,58.17,56.55,57.99,51159714
SBUX,25/01/2018,61.03,61.2,60.4,60.55,13009129
SBUX,24/01/2018,61.51,61.94,60.2326,60.83,11764779
