organization,timestamp,open,high,low,close,volume
TWTR,23/03/2018,31.26,32,30.7907,31.03,24478532
TWTR,22/03/2018,31.77,32.13,31.175,31.2,29284239
TWTR,21/03/2018,32.19,33.15,32.05,32.73,43359002
TWTR,20/03/2018,34.92,34.95,30.61,31.35,82222740
TWTR,19/03/2018,35.13,35.74,34.41,34.98,22116551
TWTR,16/03/2018,36,36.2,35.52,35.58,13747877
TWTR,15/03/2018,36.41,36.48,35.4,35.8,20921849
TWTR,14/03/2018,34.3,36.8,34.09,36.6,39409327
TWTR,13/03/2018,35.4,35.53,33.9,34.11,21967251
TWTR,12/03/2018,35.53,35.73,34.83,35.5,20963776
TWTR,09/03/2018,35.2,35.5,34.9367,35.35,18513795
TWTR,08/03/2018,35.42,35.84,34.68,34.85,24764968
TWTR,07/03/2018,33.99,35.82,33.99,35.76,33656143
TWTR,06/03/2018,34.58,34.95,33.86,34.43,22641005
TWTR,05/03/2018,32.9,34.95,32.58,34.58,34839998
TWTR,02/03/2018,31.93,33.03,31.49,33,24918891
TWTR,01/03/2018,31.95,32.56,31.26,32.24,25032477
TWTR,28/02/2018,31.5,32.85,31.47,31.86,24101591
TWTR,27/02/2018,31.91,32.21,31.26,31.32,16464903
TWTR,26/02/2018,32.7,32.7,31.96,32.16,15742166
TWTR,23/02/2018,32.2,32.69,31.97,32.66,17252683
TWTR,22/02/2018,33.43,33.45,31.63,32.11,29128051
TWTR,21/02/2018,33.03,34.055,32.6472,33.38,29431220
TWTR,20/02/2018,32.88,33.57,32.68,32.84,22677763
TWTR,16/02/2018,33.37,33.5,32.68,33.06,27626996
TWTR,15/02/2018,34.03,34.38,33.0599,33.61,31921343
TWTR,14/02/2018,32.85,33.98,32.55,33.75,38842195
TWTR,13/02/2018,30.67,33.65,30.64,33.44,56959420
TWTR,12/02/2018,31.44,31.9,30.8631,30.95,36913354
TWTR,09/02/2018,30.37,31.805,29.68,31.51,67006066
TWTR,08/02/2018,34.15,35,29.71,30.18,161821748
TWTR,07/02/2018,25.83,27.08,25.76,26.91,48572861
TWTR,06/02/2018,24.59,25.58,24.2,25.24,26117878
TWTR,05/02/2018,25.37,26.64,24.1,25.13,33745296
TWTR,02/02/2018,26.56,27.0301,25.7,25.92,32315154
TWTR,01/02/2018,25.52,27.33,25.44,27.14,47326941
TWTR,31/01/2018,25.61,26.65,25.14,25.81,40154779
TWTR,30/01/2018,24.83,26.4,24.55,25.62,52270833
TWTR,29/01/2018,24.4,25.55,24.1,25.18,52035231
TWTR,26/01/2018,22.39,24.35,22.3,24.27,49416442
TWTR,25/01/2018,22.5,22.68,22.04,22.16,15478961
TWTR,24/01/2018,22.84,23.05,22.1,22.37,23163255
TWTR,23/01/2018,22.51,23.1691,22.41,22.75,35200644
TWTR,22/01/2018,23.17,23.5,22.86,23.32,22903732
TWTR,19/01/2018,24.12,24.22,23.5,23.66,16989849
TWTR,18/01/2018,24.5,24.52,23.72,24.04,21011188
TWTR,17/01/2018,24.84,24.95,24.22,24.56,17006557
TWTR,16/01/2018,25.58,25.7089,24.51,24.66,32285575
TWTR,12/01/2018,24.94,25.85,24.93,25.41,36973010
TWTR,11/01/2018,24.3,24.37,23.9,24.35,11597393
TWTR,10/01/2018,24,24.42,23.76,24.25,10395506
TWTR,09/01/2018,24.63,24.71,24.07,24.17,12550142
TWTR,08/01/2018,24.37,24.78,23.88,24.59,17803434
TWTR,05/01/2018,24.07,24.57,23.88,24.32,14934356
TWTR,04/01/2018,24.5,24.59,23.685,23.99,17620709
TWTR,03/01/2018,24.56,24.68,24.07,24.45,12792471
TWTR,02/01/2018,24.07,24.57,23.85,24.51,15283036
TWTR,29/12/2017,24.27,24.33,23.91,24.01,10312418
TWTR,28/12/2017,24.25,24.6,24.17,24.31,9759331
TWTR,27/12/2017,24.26,24.54,24.07,24.23,9015570
TWTR,26/12/2017,24.26,24.57,24.13,24.26,10107838
TWTR,22/12/2017,24.98,25.27,24.38,24.46,16054912
TWTR,21/12/2017,25.055,25.56,24.7,25.05,19337488
TWTR,20/12/2017,25.26,25.44,24.69,25.2,20644534
TWTR,19/12/2017,24.59,25.49,23.92,25.08,45981251
TWTR,18/12/2017,23.24,24.74,23.13,24.68,48506629
TWTR,15/12/2017,22.61,22.86,22.185,22.23,17844982
TWTR,14/12/2017,21.74,23.24,21.62,22.58,33978766
TWTR,13/12/2017,21.77,21.98,21.52,21.66,14689951
TWTR,12/12/2017,22.01,22.25,21.625,21.65,14269697
TWTR,11/12/2017,21.1,22.2,21.1,22.05,17244434
TWTR,08/12/2017,21.15,21.4,20.95,21.1,14865480
TWTR,07/12/2017,21.12,21.45,20.97,21.01,11830847
TWTR,06/12/2017,20.52,21.4,20.4,21.09,14010802
TWTR,05/12/2017,20.3,20.93,20.3,20.77,10631297
TWTR,04/12/2017,20.85,20.94,20.225,20.4,11627352
TWTR,01/12/2017,20.52,20.98,20.12,20.71,15270829
TWTR,30/11/2017,21.01,21.12,20.51,20.58,15823241
TWTR,29/11/2017,21.82,22.11,20.52,20.79,23684010
TWTR,28/11/2017,21.85,22.15,21.56,21.83,13813538
TWTR,27/11/2017,22.36,22.4,21.7,21.82,19655728
TWTR,24/11/2017,22.4,22.48,22.17,22.42,7584013
TWTR,22/11/2017,21.9,22.4,21.8,22.27,21132706
TWTR,21/11/2017,21.2,21.91,21.15,21.88,18197705
